✅ TX ea254fd2e13c249e539baa93c0a52d00fbcbc00ab14222aa54f2c47c3747fa10 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-18 01:26:00
✅ TX 002f653ba9da56cd426a1acfc750f5f00b456b3a44efe27d06a982085d16989d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 206 | Timestamp: 2017-01-05 10:51:00
✅ TX d022a8dbda261d9d301d00cda009b5c51f6c11fe4236bc066ef115da99db23ab | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-17 20:59:00
✅ TX 6df5c75fc2c357bb385c8a1e890cda6211b30d52f73063fe6e890cac568b71f6 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2017-01-17 20:59:00
✅ TX a35b950746af22cd110a184c6c209a7383821bb6f772af82045f91577de7e2fa | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-17 20:59:00
✅ TX 941778546a3fff011e37fbe2cab8b5aab89f676158a61da55d396adfb8d3f277 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2017-01-17 20:59:00
✅ TX ea1c65908f8fdd9f612d41a4d9d47c6eea32dc60644f8ffc6eef90c084e14aa5 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-06 09:51:00
✅ TX 315a2af477a7ec4adc5de1c724a61c2e49daa317a20770bfa4fbca2fe63ab16e | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-06 09:51:00
✅ TX e80b4135248417c06b0243c8192cca593fe91d1970562872e3f0d4b919fe3d8c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-06 09:51:00
✅ TX 4c704c437c152d4053fefc370cee267b28206a49091eee4f24f89351d66d4c8b | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 206 | Timestamp: 2016-10-06 09:51:00
✅ TX 5bcaa7de07eedf616f06142e320002959ead3825fb53fce4098f1d81ac46e915 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-06 09:51:00
✅ TX 4082727a1555e3b700a6d46b5384786419c7ab2226c6ca1c07ebf6fa10d2cc08 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-09 09:08:00
✅ TX 9214f11eef84b91af4d3aa6300df887be76352f05f03d01bbc3fc7102f390f8a | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-08-09 09:08:00
✅ TX ebb36bb4df53c9a5207ebf4be9e2f573bf4bb66768b18faf2a16010916156ba1 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-09 09:08:00
✅ TX 7a45b4b48ed2308d032160f24c557ad9139c5109f5c9aeb14d448875ca335326 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 203 | Timestamp: 2016-08-09 09:08:00
✅ TX 7f15069447562bd0938aafdd3ecfad920448a348346179b0fd44b2e7ceb27572 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-29 11:38:00
✅ TX c62cc9db18cd70f6eb83d5362041c39841c2473a0970e3aa207a69fb0d3b8b00 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-11-29 11:38:00
✅ TX 941a6691c63f222e05caf6bbf2297ef4e0eadbcb13d4d7699e593d75804c10e3 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-29 11:38:00
✅ TX 6ee2ef9db7772c02f3bfc818c9573db0487420689d2a47e586512fec27f16d5b | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-11-29 11:38:00
✅ TX a0500e2c5aaea02e061ab6baa917da97f684bf5d7b37322edf00fcc59b980b0f | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-30 03:25:00
✅ TX 8e50032995847c7c53b7d4f9bf2b796417531ac4f51a49773f139b439433a39b | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-10-30 03:25:00
✅ TX 720a8546fe4edf81d424408fe4e7f6ba9fd6856663df09cb02693fad2ce9e8fe | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-30 03:25:00
✅ TX e27131884ac51512e49e759a0a842347e158375c603c66d633d8a7e4b11ae9e6 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-10-30 03:25:00
✅ TX 384d4ba6e7a672b33e74f544555546a192155ab7034006d08ff770686d26959c | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-06 01:45:00
✅ TX eb4de578affd8505f8975c97da0fbb611fce8775d95fe7ae319c5e8416875600 | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-09-06 01:45:00
✅ TX 07fad50f10811bd69edd51c2c2969be99a73b4391f7084b05f93950380654008 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-06 01:45:00
✅ TX 0bf734d8b7e59fa8fe7eda664943a347abe7247ae563060746e89058daef4c7e | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 209 | Timestamp: 2016-09-06 01:45:00
✅ TX 5ec985234638dbfcc8d61e7fb594c3e9676e2f5e021ea6043a0054baf00eef52 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-04 15:46:00
✅ TX 376d349f8c54e92cebe972f273664a46377294c1891e556a81dfe1d07b2801b4 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-12-04 15:46:00
✅ TX 7158701b961da3d05668137d081c5ffd6df16eadcdca76a0bb0506c39c8dd18e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-04 15:46:00
✅ TX e2d9854372329470086d85206a06a6034c88ddbb56068d684f548922b57ec6e4 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-12-04 15:46:00
✅ TX 83c7e7a1ff6fc7b672544492bd8e0aaf5922ed985ccacdeba234d153fc7a5d4d | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-27 22:59:00
✅ TX 51753e49cea83e7e959a4b6d9d136abaa0f7234f3edec2437d464ee8df0df700 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-10-27 22:59:00
✅ TX b035230e2ab8899fdb0010465ede86ad5cdb90473c5ffb426bedfbc89971ad23 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-27 22:59:00
✅ TX ff8fb0fbd96b823c095985c359f97ed60c22b1a30e9e901ba9a4c74481b34047 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2016-10-27 22:59:00
✅ TX 0db928539afa464b44acaa20abadf95f14306cee26a7f859b62bbe1535c9ea58 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-25 17:02:00
✅ TX bf832ce06660f40a2514ab1f69a607a54bd8025e0d24b16c56cfdc06b729cf7e | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-11-25 17:02:00
✅ TX 00a1136344f38933e4507d8944f5b31d17e87b229249e3657af9f1b288f5008e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-25 17:02:00
✅ TX f6d2bb770dde6655df489d8a9e9f80249f50394f9a330cd7b7bbd175bce2b3c5 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 203 | Timestamp: 2016-11-25 17:02:00
